WKT,no,id,foreign,name,lat,long
"POINT (111.9 -8.0666667)",230.0,3504.0,35.0,KABUPATEN TULUNGAGUNG,-8.0666667,111.9
"POINT (112.16276200000001 -8.101441900000001)",231.0,3505.0,35.0,KABUPATEN BLITAR,-8.101441900000001,112.16276200000001
"POINT (112.03235600000001 -7.809356)",232.0,3506.0,35.0,KABUPATEN KEDIRI,-7.809356,112.03235600000001
"POINT (112.68845490000001 -8.0495643)",233.0,3507.0,35.0,KABUPATEN MALANG,-8.0495643,112.68845490000001
"POINT (113.226601 -8.137022)",234.0,3508.0,35.0,KABUPATEN LUMAJANG,-8.137022,113.226601
"POINT (113.70030200000001 -8.172357)",235.0,3509.0,35.0,KABUPATEN JEMBER,-8.172357,113.70030200000001
"POINT (114.36694440000001 -8.218611099999999)",236.0,3510.0,35.0,KABUPATEN BANYUWANGI,-8.218611099999999,114.36694440000001
"POINT (113.813483 -7.917704)",237.0,3511.0,35.0,KABUPATEN BONDOWOSO,-7.917704,113.813483
"POINT (113.955605 -7.702534)",238.0,3512.0,35.0,KABUPATEN SITUBONDO,-7.702534,113.955605
"POINT (113.210675 -7.753964999999999)",239.0,3513.0,35.0,KABUPATEN PROBOLINGGO,-7.753964999999999,113.210675
"POINT (108.8001936 -6.8623098)",240.0,3514.0,35.0,KABUPATEN PASURUAN,-6.8623098,108.8001936
"POINT (112.7173389 -7.453027799999999)",241.0,3515.0,35.0,KABUPATEN SIDOARJO,-7.453027799999999,112.7173389
"POINT (112.427027 -7.488075)",242.0,3516.0,35.0,KABUPATEN MOJOKERTO,-7.488075,112.427027
"POINT (112.2264794 -7.546839500000001)",243.0,3517.0,35.0,KABUPATEN JOMBANG,-7.546839500000001,112.2264794
"POINT (111.901808 -7.602932000000001)",244.0,3518.0,35.0,KABUPATEN NGANJUK,-7.602932000000001,111.901808
"POINT (111.50548300000001 -7.627753)",245.0,3519.0,35.0,KABUPATEN MADIUN,-7.627753,111.50548300000001
"POINT (111.33815929999999 -7.6493413)",246.0,3520.0,35.0,KABUPATEN MAGETAN,-7.6493413,111.33815929999999
"POINT (111.46193000000001 -7.3899300000000006)",247.0,3521.0,35.0,KABUPATEN NGAWI,-7.3899300000000006,111.46193000000001
"POINT (124.46695659999999 0.8826809999999999)",248.0,3522.0,35.0,KABUPATEN BOJONEGORO,0.8826809999999999,124.46695659999999
"POINT (115.17112979999999 -8.7493146)",249.0,3523.0,35.0,KABUPATEN TUBAN,-8.7493146,115.17112979999999
"POINT (109.3946794 -7.406153)",250.0,3524.0,35.0,KABUPATEN LAMONGAN,-7.406153,109.3946794
"POINT (112.6555 -7.15665)",251.0,3525.0,35.0,KABUPATEN GRESIK,-7.15665,112.6555
"POINT (112.7450068 -7.0306912)",252.0,3526.0,35.0,KABUPATEN BANGKALAN,-7.0306912,112.7450068
"POINT (109.2058436 -7.578255599999999)",253.0,3527.0,35.0,KABUPATEN SAMPANG,-7.578255599999999,109.2058436
"POINT (113.46666670000002 -7.1666667)",254.0,3528.0,35.0,KABUPATEN PAMEKASAN,-7.1666667,113.46666670000002
"POINT (113.90606240000001 -6.925399900000001)",255.0,3529.0,35.0,KABUPATEN SUMENEP,-6.925399900000001,113.90606240000001
"POINT (112.03235600000001 -7.809356)",256.0,3571.0,35.0,KOTA KEDIRI,-7.809356,112.03235600000001
"POINT (112.16276200000001 -8.101441900000001)",257.0,3572.0,35.0,KOTA BLITAR,-8.101441900000001,112.16276200000001
"POINT (112.68845490000001 -8.0495643)",258.0,3573.0,35.0,KOTA MALANG,-8.0495643,112.68845490000001
"POINT (113.210675 -7.753964999999999)",259.0,3574.0,35.0,KOTA PROBOLINGGO,-7.753964999999999,113.210675
"POINT (108.8001936 -6.8623098)",260.0,3575.0,35.0,KOTA PASURUAN,-6.8623098,108.8001936
"POINT (112.427027 -7.488075)",261.0,3576.0,35.0,KOTA MOJOKERTO,-7.488075,112.427027
"POINT (111.50548300000001 -7.627753)",262.0,3577.0,35.0,KOTA MADIUN,-7.627753,111.50548300000001
"POINT (112.734398 -7.289166000000001)",263.0,3578.0,35.0,KOTA SURABAYA,-7.289166000000001,112.734398
